address,area,city,state,country,latitude,longitude,property_name,hotel_star_rating
"S.N Junction, Punnamada, Alappuzha",Finishing Point Road,Alleppey,Kerala,India,9.4980667,76.3388484,Bens Houseboats 4 Bed Room A/c DLX (4),0
shahi hamdan colony zukroo,Others,Srinagar,Jammu and Kashmir,India,34.1255413,74.9442585,BE MY GUEST,0
"No.7.Dharga Road, Pallavaram,","Airport Area, Pallavaram",Chennai,Tamil Nadu,India,12.9661099,80.1479566,AVNB Towers,2
"No 6/16, munnekolalu extention, ashwathnagar, varthur hobli",Marathahalli,Bangalore,Karnataka,India,12.95709023,77.70223491,ATITHI RESIDENCY - MARTHAHALLI,0
"122 / 3, Near Bharma Temple",Brahma Temple Area,Pushkar,Rajasthan,India,26.489749,74.5510856,AROMA,0
"Gimhavne, Dapoli",Gihavane,Dapoli Camp,Maharashtra,India,17.7656238,73.1674128,Bahar Homestay,0
"Beach Road, Calicut Pin - 673 032 Kerala, India",Kappad Beach,Calicut,Kerala,India,11.2587531,75.78041,BEACH HOTEL,0
"House No. 681/1 , Demello Vaddo,Anjuna Beach Road,4th lane left from Starco Junction,Anjuna- Goa.",Candolim Area,Goa,Goa,India,15.5809248,73.7448437,Arjun Villa,0
"christain basti , opposite passport seva kendra, walford",G.S. Road,Guwahati,Assam,India,26.1783205,91.7530844,Awesome Palace,3
"No.7 Sriram Nagar, Polur Road",Athiyanthal Village,Tiruvannamalai,Tamil Nadu,India,12.2358388,79.0263645,Arpanaa Hotel,3
"Flat no 308,Block 2,Sarada Apartments II, Next lane to Axis Bank, Road No.1, Banjara Hills",Banjara Hills Area,Hyderabad,Andhra Pradesh,India,15.9128998,79.7399875,Athidhi Guest House,0
"J. Tata Road, Churchgate Reclamation   Opp Eros Cinema mumbai 400020",Marine Lines,Mumbai,Maharashtra,India,18.9304462,72.8260931,Astoria Hotel,3
Badrinath Road Tapovan Rishikesh,Tapovan,Rishikesh,Uttarakhand,India,30.131591,78.3241469,Bhagirathi Palace,2
"Behind sardar petrol pump, kampoo, lashkar gwalior",Lashkar,Gwalior,Madhya Pradesh,India,26.1973344,78.1684973,Arihant Guest House.,0
"2/372, Vishal Khand, Gomti Nagar Lucknow, Lucknow - 226001, Near CMS",Gomti Nagar,Lucknow,Uttar Pradesh,India,26.8481666,80.98527,Avadh INN,0
"No. 8 Kumaranasan Nagar, Kadavanthra, Kochi",Ernakulam,Ernakulam,Kerala,India,9.976876034,76.30261126,Athithi Homes,0
"S.N Junction, Punnamada, Alappuzha",Finishing Point Road,Alleppey,Kerala,India,9.4980667,76.3388484,Bens Houseboats 4 Bed Room A/c DLX (2),0
"Small Vagator Beach, Vagator Bardez Goa",Anjuna Area,Goa,Goa,India,15.59454069,73.7343353,Antares Beach Resort,0
"MI Road, Opp Om Towers, next to ICICI Bank ATM",M I Road,Jaipur,Rajasthan,India,26.91822023,75.79978475,Backpacker Panda Jaipur,2
"A-23, Sector 51, Near Community Center, Noida",Sector 51,Noida,Uttar Pradesh,India,28.54114279,77.38282847,Avasa Hotel,0
"Village Bhimlat,Dist.Balaghat",Mukki Village,Kanha,Madhya Pradesh,India,22.2830364,80.6181218,Bagh Tola Kanha,1
"Chithirapuram P.O Thattathimukku, Anachal, Munnar  Munnar, Chithirapuram, Munnar 685565, India",Chithirapuram,Munnar,Kerala,India,10.0889333,77.0595248,ANNAS HOMESTAY,1
"near hanuman temple,old foot bridge",Others,Alleppey,Kerala,India,9.4980667,76.3388484,Antonys Eco Houseboat,0
"Udaipur Jhadol Road,  Near Nai Gaon, Udaipur",Lake Pichola Area,Udaipur,Rajasthan,India,24.54432478,73.64417642,Araliayas Resort,3
"139/C1, Next to G R Tech Park, Pattandur  Agrahara ITPL Main Road, Whitefield,   Bangalore-66",Whitefield,Bangalore,Karnataka,India,12.9715987,77.5945627,Bhagini Residency,0
"Opp. Brijkishore Homeopathic College,Near Allahabad Bank,Devkali Road,Faizabad",Devkali Road,Faizabad,Uttar Pradesh,India,28.6139391,77.2090212,AP House,1
"Nandi Hills, hegedahalli village Banglore",Others,Bangalore,Karnataka,India,13.370154,77.6834551,Aura Foothills,0
"Ayur County Mountain Resorts, Chinnakanal P.O, Munnar",Chinnakanal,Munnar,Kerala,India,10.03087,77.1618783,Ayur County,3
"Anjuna German Bakery Road , next to German bakery and curlies shack,Anjuna, Goa",Anjuna Area,Goa,Goa,India,15.2993265,74.123996,Bay Luxe,3
"689/27 Opposite chand health club,model town",Sector-14,Rohtak,Haryana,India,28.8890982,76.6138327,Basera Guest House,0
"Mandarmani, East Medinipur",Purba Medinipur,Mandarmani,West Bengal,India,21.659977,87.6908123,Arya Beach Resort Mandarmani,2
"Awas Rd., Near Awas Beach, Alibaug, Maharasthra 402201",Awas,Raigad,Maharashtra,India,18.7624023,72.8652243,Antiguo Alibaug,0
"N.H.Road, Central Munnar",Main Town,Munnar,Kerala,India,10.0866509,77.0610071,Bellmount Resorts,3
"Bagmane Estate, Mallandor P.O 15",Mallandur,Chikmagalur,Karnataka,India,13.3685736,75.6571751,Bean Stalk Bagmane Homestay,1
"4D, 4th /Floor, 12B Russel Street",Others,Kolkata,West Bengal,India,22.5827198,88.40827942,"Banayan Appartment ,Russell Street",0
"Baragarh Villa Baragarh Estate, Village Gurdorh, PO Larenkelo Distt. Kullu Himachal Pradesh","Aleo, Left Bank",Manali,Himachal Pradesh,India,32.2396325,77.1887145,Baragarh Villa,3
"VILL DAWADA, NH 21 MANALI  175131",Others,Manali,Himachal Pradesh,India,32.09650257,77.12678766,BAZIRA COTTAGES,0
"near helipad,cliff beach,varkala",Kurakkanni Cliff,Varkala,Kerala,India,28.6139391,77.2090212,Ayushi Ayurvedi Retreat,0
palath house po nattika beach Thrissur kerala 680566,nattika beach,Thrissur,Kerala,India,10.4184641,76.0994875,AVANTHIKA HOMESTAY,0
"Anna Salai, Near. Bus Stand",Attuvampatti,Kodaikanal,Tamil Nadu,India,10.23560378,77.49242222,ASTORIA VEG,0
"Kolamb village, Malvan",Kolamb Village,Malwan,Maharashtra,India,16.1086061,73.471054,Arvind Niwas,0
"No.4, E-Road, (Near Omni Bus Stand) Koyambedu",Koyambedu,Chennai,Tamil Nadu,India,13.0694273,80.1980712,Balaji Residency,2
"Near Nehru Enclave , Bari Jugallie Gomti Nagar,","Gomti Nagar,",Lucknow,Uttar Pradesh,India,26.8619743,80.97840852,Aryan Hotel,0
"S.N Junction, Punnamada, Alappuzha",Finishing Point Road,Alleppey,Kerala,India,9.4980667,76.3388484,Bens Houseboats 2 Bed Room A/c DLX (2),0
"31/1, South Tukoganj  Indore",Tukoganj,Indore,Madhya Pradesh,India,22.71761108,75.87462344,Best Western Plus O2,4
"77, Jawaharlal Nehru Road, 100, Feet Road, Vadapalani, Chennai - 600 026",Vadapalani,Chennai,Tamil Nadu,India,13.054749,80.2111616,Aspni Inn,3
"Ranthambore Road, Sawai Madhopur,",Ranthambhore,Sawai Madhopur,Rajasthan,India,26.01691763,76.3649125,"Anuraga Palace, Treehouse Palace Hotel",4
"ASHTAMI RESORT,Meenangadi MEPPRIKUNU",Kalpetta,Wayanad,Kerala,India,11.6517395,76.187579,ASHTAMI RESORT,0
"Plot no. 30, Vijayanagaram Colony, Bhelupur, Varanasi, 221010",Bhelupur,Varanasi,Uttar Pradesh,India,25.2980853,83.0008432,Azure Guest House,1
"10/4B, Metha Layout ,Masakalipalayam road,Peelamedu, Hopes",Avinashi Road,Coimbatore,Tamil Nadu,India,11.0168445,76.9558321,Arul Nakshatra Service Apartment,0
"No 48/1114, E V R Periyar High Road, Park Town, Chennai - 600003, Periamet",Others,Chennai,Tamil Nadu,India,13.0826802,80.2707184,BAVA LODGE,0
"Plot no. 15, 24, 25 and 26, Survey no. 64, Sector-1, Huda Techno enclave, Madhapur, Hyderabad - 500081",Hi-Tech City,Hyderabad,Andhra Pradesh,India,17.44689227,78.38379466,Avasa Hotel,5
"B- 201 and 301 ,  Jeevan Vijay CHS, Dr Charat Singh Colony, Behind Dragon Fly Hotel, Near Jyoti Dwelling, Chakala, Andheri",Andheri,Mumbai,Maharashtra,India,19.1199358,72.8466076,"Arista Service Apartments,Andheri",0
"D-160,Kabir Marg,Bani Park,Near Collectreat Circle",Bani Park,Jaipur,Rajasthan,India,26.9254891,75.79081935,Chit Chat Palace,0
Calangute Candolim Beach Road Goa 403516 Near Plaintain Leaf Restaurant,Calangute Area,Goa,Goa,India,15.5443686,73.7615756,Calangute Alcove Luxury Apartment,2
"515 E, New Shahupuri, Station road",New Shahupuri,Kolhapur,Maharashtra,India,16.7024958,74.2322025,Chalukya Deluxe,1
"Small vagator,orzan road,opp foot ball ground,bardez,goa",Vagator Area,Goa,Goa,India,15.59459044,73.73796309,Brisa Do Mar,0
"C-68, Block-C, South City, Part-I, Near Huda City Metro Station, Sector 41, Gurgaon",Sector 41,Gurgaon,Haryana,India,28.45992092,77.06226874,Blooms 1,0
"Bokhim Village Resort,Aritar lake ,East Sikkim",Bokhim Village,Aritar,Sikkim,India,27.1878853,88.6747675,Bokhim Village Resort,1
"Malmaddi Station Road, Court Circle, Opposite horticulture office, Dharwad Ho, Dharwad - 580001","Railway Station Road, Opposite Horticulture Office",Dharwad,Karnataka,India,15.45407367,75.00734312,Brindavan Lodge,0
"No.65-66,1st floor, Sadguru complex,Opp.IIMB,Bilekahalli,Bannerghatta Main Road",Bannerghatta Road,Bangalore,Karnataka,India,12.8971736,77.5999789,Brahma Inn Executive Rooms,0
"Villa 149, Omaxe Panorama City, 7-8 Km milestone on Alwar Bypass Road,",Aalwar Bypass Road,Bhiwadi,Rajasthan,India,28.14333817,76.81595655,Blue Lemon Apartment Hotel,3
"Chandipur, Balasore - 756025",Chandipur,Baleshwar,Orissa,India,21.4498151,87.0168535,CHANDIPUR HOTEL,0
"Panchgani Road, Mahabaleshwar",Panchgani Road,Mahabaleshwar,Maharashtra,India,17.9313112,73.6672583,Breeze Inn Bungalow,0
"Casa Grande I Bldg, 4th Floor Flat No.401, Koregaon Park, Pune",Koregaon Park,Pune,Maharashtra,India,18.5362084,73.8939748,Bluebell Hospitality Services,0
"B-1, Surya Nagar, Ghaziabad-201011",Others,Ghaziabad,Uttar Pradesh,India,28.664471,77.321394,Bharat Guest House,0
"Jaswant Poul, Village Ghodnala, Post Office- Bir, Teh. Baijnath, Distt. Kangra, Himachal Pradesh",Kangra,Baijnath,Himachal Pradesh,India,32.0521085,76.6492869,"Camp Oak View, Bir",0
"Plot No-2,sec-43,Golf Course Road,Gurgaon",Golf Course Road,Gurgaon,Haryana,India,28.4622335,77.0948864,Callista Inn Golf Course Road,2
"E 77 Seventh Floor, Diamond District, HAL Airport Road",Other,Bangalore,Karnataka,India,12.9546284,77.6822522,Chalet Diamond Penthouse,0
"#1, Venkitauram, 73-A, Sardar Patel Road, (Near Lemon Tree Hotel) Opp. Raj Bhavan Staff Quarters Gate, Guindy,  Chennai",Guindy,Chennai,Tamil Nadu,India,13.0123464,80.2415414,Chennai Stays (Guindy),0
"Hotel Complex, Plot 7, Jodhpur Jaisalmer Road, Jaisalmer Rajasthan",Barmer Road,Jaisalmer,Rajasthan,India,26.91509817,70.94675353,BRYS Fort,5
"Address- 329, Village Jharsa,Gurgaon Haryana",Others,Gurgaon,Haryana,India,28.4546386,77.0390265,Citi Hotel &amp; Suites Jharsa,0
"Chokhi Dhani Palace Hotel, Barmer Road, Jaisalmer 345001",Barmer Road,Jaisalmer,Rajasthan,India,26.901934,70.9458929,Chokhi Dhani - The Palace Hotel,4
"Barsar - Deotsidh Rd, Shahtalai, Himachal Pradesh 176039",Deotsidh Rd,Shahtalai,Himachal Pradesh,India,31.4531151,76.5204857,Chadda Guest House,0
Air-force Circle Dibba Para,Jaisalmer Fort Area,Jaisalmer,Rajasthan,India,26.9098688,70.9104913,Castle  View Jaisalmer,3
"1/2, Elivaram Veerasamy Street, Periamedu,",Periamet,Chennai,Tamil Nadu,India,13.0826802,80.2707184,Central Gate,1
"Kahilipara Road Jatia, Dispur Guwahati-781006",Odalbakra Main Road,Guwahati,Assam,India,26.1446451,91.7842783,Blue Moon Guest House,1
"Camp Chrysalid Sitlakhet, Siyahi Devi Estate, Sitlakhet",Sitlakhet,Almora,Uttarakhand,India,29.593587,79.5448673,Camp Chrysalid Sitlakhet (16km From Almora),0
"Chandelao, Jodhpur, Rajasthan",Others,Jodhpur,Rajasthan,India,26.25082705,73.39634211,Chandelao Garh (Heritage Hotel),1
"On the banks of River Mandovi, Betim",Betim,Goa,Goa,India,15.50602462,73.82518885,Cabo Cabana Wooden Cottages,0
"Bhawna Tower,Kailashouri Crossing, Sector 16B, Awas Vikas,Sikandra",Sikandra,Agra,Uttar Pradesh,India,27.20701554,77.97165726,Bhawna Clarks Inn,4
"New Market, General Bus Stand, Jalandhar, Backside Narinder Cinema","ISBT, GT Road Area",Jalandhar,Punjab,India,31.3260152,75.5761829,Chhabra Guest House,1
"North Cliff End, Thiruvambadi Beach,",North Helipad Cliff,Varkala,Kerala,India,8.7403891,76.6974664,Black Beach Resort,3
"Besides Old Bus Stand, Hubli",Bus Stand Area,Hubli,Karnataka,India,15.3513362,75.1379375,Bharati Lodge,1
"Near Telephone Exchange, Belwakhan, Jeolikote - 263127, Nainital - Uttarakhand",Others,Nainital,Uttarakhand,India,29.3803039,79.4635658,Camp Sparrow,3
DEVANAGERI  VILLAGE AND POST VIA VIRAJPET.S.COORG 571218,Virajpet,Coorg,Karnataka,India,12.3374942,75.8069082,CHIKKOS NEST HOMESTAY,0
"Chail, Himachal Pradesh 173217",Chail Market/Near,Chail,Himachal Pradesh,India,30.9676214,77.1916497,Camp Jayshee,0
"H.No. 587, Opp the new Baga bridge, Goa",Baga Area,Goa,Goa,India,15.56547782,73.74977822,Braganza Guest House,0
NO 101 Maithri layout Hope farm circle Whitefield,Whitefield,Bangalore,Karnataka,India,12.9839161,77.7520895,Bulande Hope farm Bangalore,0
"Bhimkund Road, Chikhaldara",Bhimkund Road,Chikhaldara,Maharashtra,India,21.3981985,77.3447554,Bhima's Paradise,1
"Vill. - Pangot, Nainital, (Uttarakhand) Nainital Uttarakhand Pin Code	:	263001",Others,Nainital,Uttarakhand,India,29.3763956,79.391605,Camp Mehi Tents,0
"Plot 5/E, Kanch Bawadi Toll Naka, Opp Sanjeevan School, On panchgani Mahableshwar road",Main Town,Panchgani,Maharashtra,India,17.9239501,73.8036752,Bhatia Villa 5,0
"Chowkidinghee Heritage Chang Bungalow, Dibrugarh(3KMS FROM Mancotta Heritage Chang Bungalow)",Chowkidinghee,Dibrugarh,Assam,India,27.4728327,94.9119621,Chowkidinghee Heritage Chang Bungalow,0
"House no 327, Sector 47, Gurgaon",Others,Gurgaon,Haryana,India,28.4601745,77.0666121,BKS Guest House,0
"Sy. No.69, Bommuru Agrahara Village, Paschima Vahini Circle, Off Mysore-Bangalore Highway, Srirangapatna Taluk",Others,Mysore,Karnataka,India,12.4102752,76.67088068,Cauvery Sannidhi,2
"Chinnakanal P.O, Munnar,Kerala, 685618, India",Chinnakanal,Munnar,Kerala,India,10.0376437,77.1629804,Casa Del Fauno,0
"PNG ROAD,NEAR PALZOR NAMGYAL GIRLS HIGH SCHOOL GATE, Gangtok",Paljor Stadium Road,Gangtok,Sikkim,India,27.3270234,88.6111288,Central Ninamma  Boutique Resort,3
"12th Mile, Tonk Road,",Sitapura,Jaipur,Rajasthan,India,26.76625542,75.83593618,Chokhi Dhani - An Ethnic Village Resort,5
"Lambdhar, Chamba-Mussoorie Road, Dist. Tehri Garhwal, Dhanolti, Uttarakhand 249001",Chamba Road,Dhanaulti,Uttarakhand,India,30.4209685,78.2509964,Camp O Royale,1
"Nagalore road  Opp petrol bunk,",Pagoda Point Road,Yercaud,Tamil Nadu,India,11.775251,78.2092576,Brindhavan Dream House,0
"Beach No. 5, vijay Nagar Beach",Vijay Nagar Beach,Havelock Island,Andaman and Nicobar Islands,India,12.02313599,93.00431342,Blue Bird Resort,3
RAA 43/2 VIP Road (Raghunathpur),"Airport Zone, Dum Dum",Kolkata,West Bengal,India,22.61836608,88.43279062,Celesta,4
"flat no 109 , indralok apartments,old renigunta road ,Behind Reliance Mart",Old Tirchanoor Road,Tirupati,Andhra Pradesh,India,13.62699357,79.42858332,Chethans inn  serviced apartments,1
"Next to Calangute Beach, Calangute",Calangute Area,Goa,Goa,India,15.541667,73.761944,Calangute Annexe,0
"Vill. - Pangot, Nainital, (Uttarakhand) Nainital Uttarakhand Pin Code	:	263001",Others,Nainital,Uttarakhand,India,29.3803039,79.4635658,Camp Mehi Cottages,1
"CARMEL HOMESTAY,Raj Villament, Ivy Rossa Layout,Carmelaram P.O., Sarjapur Road,Bangalore 560035, Karnataka, South India",Sarjapur Road,Bangalore,Karnataka,India,12.9715987,77.5945627,CARAMEL HOMESTAY,1
"Plot No21, Silicon valley, Madhapur, Hyderabad - 500081",Hi-Tech City,Hyderabad,Andhra Pradesh,India,17.4471644,78.3722413,Blue Dawn Suites Service Appartment,0
"Near Starco Junction,66 D Mello Vaddo, Anjuna",Anjuna Area,Goa,Goa,India,15.5828843,73.73983218,Casa Anjuna-Boutique Resort,4
"OLD NH-8,NEXT TO FUN N FOOD VILLAGE KAPASHERA,NEW DELHI 110037, INDIA","Delhi Airport, Mahipalpur, Aerocity",Delhi,Delhi,India,28.51988448,77.08366606,Calista Resort,4
"36,  Main Road ,",Main Road,Kanyakumari,Tamil Nadu,India,8.0883064,77.5384507,Boopathy Lodge,0
"Main Road, State Highway 13, Next to Model Thana, Opposite Old Bus Station",Civil Lines,Buxar,Bihar,India,25.5657858,83.9770718,Buxar Hotel,0
"Chanmari, Main Road",Chanmari,Aizawl,Mizoram,India,23.740738,92.7172255,Chief Guest House,0
"Near Bhimtal Lake,Bhimtal,Nainital, Uttarakhand",Others,Nainital,Uttarakhand,India,29.343056,79.559167,Bhimtal Holiday Villa,0
"HOSKERI VILLAGE,AREKAD POST,KODAGU",Madikeri,Coorg,Karnataka,India,12.33690726,75.82579095,Chilipili Estate Stay,0
C 42 Greater Kailash Part 1,Greater Kailash Area,Delhi,Delhi,India,28.5482235,77.2393398,Capitol Hills Hotel,3
"Camp Chrysalid Dharamshala, Mohal Tou Near the temple of Indru Nag",Kangra Valley,Dharmsala,Himachal Pradesh,India,32.22114951,76.33433567,Camp Chrysalid Dharamshala,0
"1504, B wing, Imperial Heights, opp Goregaon fire brigade, off goregaon link road, Goregaon west, Mumbai",Goregaon,Mumbai,Maharashtra,India,19.1629338,72.839241,Castle Service Apartment - Goregaon,1
Marayoor P.O Munnar,Marayoor P.O,Marayoor,Kerala,India,10.2733958,77.1587239,Chandana Annexe,2
"106, 4thA B Cross Road, Kasturi Nagar, Bengaluru, Karnataka, India",Kr Puram,Bangalore,Karnataka,India,13.0058336,77.6571505,carlin  service apartments,0
"Bharathinagara Post, Menase, Opposite Rajiv Gandhi Sanskrit University, Chikkamagaluru-Sringeri Rd, Kunthur, Karnataka 577139",Sringeri Taluk,Chikmagalur,Karnataka,India,13.4008043,75.286064,BHIDE HOMESTAY,0
"Kaziranga National Park, Kohora,Dist. Golaghat, Assam, India",Astc Bus Stand Bokakhat,Golaghat,Assam,India,28.6139391,77.2090212,BORAH'S HOME STAY,0
"Rubber factory Juntion, civil station ward, beach road, alleppey",Others,Alleppey,Kerala,India,9.490728173,76.32345788,Choice Rooms,2
"Plot No. P-10, Rajiv Gandhi Infotech Park, Phase-1, Opp. Infosys, Hinjewadi, Pune",Hinjewadi,Pune,Maharashtra,India,18.58578672,73.73434961,Bizz Tamanna Hotel,2
"Near Diesel Power House, DPH Rd",Others,Gangtok,Sikkim,India,27.3311995,88.6063836,Blue Star Hotel,0
"CCC Peppermint Hotel,3/19 Seetharam Nagar,Krishnagiri - Hosur Main Road,Hosur.",Bus Stand,Hosur,Tamil Nadu,India,12.7409127,77.8252923,CCC PepperMint,0
"Nainwa Road, Bundi",Surang Gate,Bundi,Rajasthan,India,25.43815,75.637306,Chandana Residency,0
"Bougainvillea,  Next to Saavli Bungalow.G NO .2240, Nagaon.",Nagaon,Alibag,Maharashtra,India,18.61228814,72.90062024,Bougainvillea,0
"Munshi Ghat, Darbhanga Ghat, Dashashwmedh,",Dasaswamedh Ghat,Varanasi,Uttar Pradesh,India,25.30525251,83.00927128,BrijRama Palace. A Heritage Hotel,5
"No.125, Konappanna Agrahara, Hosur Main Road, Near Infosys, Next To Bangalore Pride, Electronic City, Bangalore - 560100",Electronic city,Bangalore,Karnataka,India,12.8399389,77.6770031,Chandana Deluxe Hotel,0
AABI KARPORA Dal lake nehru park,Dal Lake Area,Srinagar,Jammu and Kashmir,India,34.0836581,74.7973681,Blue Sky Group of houseboats,0
Old Kutralam Falls Road  Tenkani,"42 / 42A, Shencottai Road",Courtalam,Tamil Nadu,India,8.9510976,77.298937,BWDA Resort,2
"Plot No: 22, 23 and 24, GIDC, Sector 25, Gandhinagar",Sector 25,Gandhinagar,Gujarat,India,23.24725141,72.63414918,"Cambay Sapphire , Gandhinagar",5
"Model Town Rd,Mela Singh Chowk yamunanagar haryana -135001","Model Town,Near M.L.N College",Yamunanagar,Haryana,India,30.1290485,77.2673901,Central Royale,1
"Gopal Ballav Road, Puri Ho, Puri",Gopal Ballav Road,Puri,Orissa,India,19.7984678,85.8221719,Chandrama Hotel,0
"Khariwad Opp Ice Factory Road, Vapi-Daman Mani Road,  Nani - Daman 396210.",Nani Daman,Daman,Gujarat,India,20.41706345,72.84007978,Casa De Damao.,3
